product_id,product_name,month_num,qty_sold,qty_purchased,stock,minimum_inventory
20,Bìa hồ sơ,8,19,0,24,20
1,Bút bi,9,38,0,98,15
2,Bút chì,10,12,0,67,27
3,Tẩy (gôm),11,10,0,67,22
4,Thước kẻ,12,32,16,59,22
5,Bút dạ quang,1,36,0,77,12
6,Vở học sinh,2,38,0,96,22
7,Bút mực,3,37,0,38,25
8,Hộp bút,4,32,0,78,25
9,Compa,5,17,0,108,19
10,Kéo học sinh,6,31,0,26,14
11,Bút lông bảng,7,35,0,29,20
12,Bảng con học sinh,8,34,0,101,13
13,Máy tính cầm tay,9,6,0,112,21
14,Băng keo,10,6,13,46,26
15,Giấy A4,11,21,1,79,22
16,Bút màu,12,39,18,49,16
17,Sổ ghi chép,1,14,0,117,24
18,Ba lô học sinh,2,34,0,41,13
19,Túi đựng tài liệu,3,24,0,87,26
20,Bìa hồ sơ,4,16,9,84,27
1,Bút bi,5,18,0,48,21
2,Bút chì,6,39,0,95,16
3,Tẩy (gôm),7,33,5,98,28
4,Thước kẻ,8,15,0,45,11
5,Bút dạ quang,9,38,0,100,12
6,Vở học sinh,10,17,0,34,20
7,Bút mực,11,36,13,103,20
8,Hộp bút,12,31,0,75,24
9,Compa,1,20,0,103,15
10,Kéo học sinh,2,23,2,20,15
11,Bút lông bảng,3,19,0,54,26
12,Bảng con học sinh,4,29,0,37,24
13,Máy tính cầm tay,5,20,0,79,23
14,Băng keo,6,29,0,72,17
15,Giấy A4,7,19,0,69,29
16,Bút màu,8,11,0,83,21
17,Sổ ghi chép,9,28,0,22,29
18,Ba lô học sinh,10,19,0,97,16
19,Túi đựng tài liệu,11,21,0,103,13
20,Bìa hồ sơ,12,13,24,79,11
1,Bút bi,1,28,0,83,22
2,Bút chì,2,21,17,113,27
3,Tẩy (gôm),3,35,0,30,22
4,Thước kẻ,4,29,0,60,17
5,Bút dạ quang,5,15,0,107,18
6,Vở học sinh,6,21,13,51,24
7,Bút mực,7,20,0,111,29
8,Hộp bút,8,37,0,51,27
9,Compa,9,37,0,52,18
10,Kéo học sinh,10,17,12,45,16
11,Bút lông bảng,11,6,0,109,23
12,Bảng con học sinh,12,19,22,63,26
13,Máy tính cầm tay,1,15,26,25,18
14,Băng keo,2,10,0,114,18
15,Giấy A4,3,16,0,69,29
16,Bút màu,4,11,0,99,13
17,Sổ ghi chép,5,10,0,45,12
18,Ba lô học sinh,6,18,21,31,21
19,Túi đựng tài liệu,7,17,0,38,23
20,Bìa hồ sơ,8,12,0,72,28
1,Bút bi,9,22,18,41,14
2,Bút chì,10,36,0,78,12
3,Tẩy (gôm),11,32,2,80,24
4,Thước kẻ,12,37,0,68,29
5,Bút dạ quang,1,8,0,39,27
6,Vở học sinh,2,36,0,117,13
7,Bút mực,3,6,0,55,15
8,Hộp bút,4,16,0,37,17
9,Compa,5,25,0,118,17
10,Kéo học sinh,6,34,11,33,23
11,Bút lông bảng,7,6,4,57,22
12,Bảng con học sinh,8,18,0,108,29
13,Máy tính cầm tay,9,6,16,108,11
14,Băng keo,10,39,0,84,17
15,Giấy A4,11,16,12,42,24
16,Bút màu,12,35,2,33,25
17,Sổ ghi chép,1,14,0,95,18
18,Ba lô học sinh,2,5,0,27,20
19,Túi đựng tài liệu,3,16,0,83,29
20,Bìa hồ sơ,4,32,4,66,14
1,Bút bi,5,16,0,63,24
2,Bút chì,6,19,0,80,29
3,Tẩy (gôm),7,18,4,39,10
4,Thước kẻ,8,39,0,78,14
5,Bút dạ quang,9,37,0,97,21
6,Vở học sinh,10,24,0,107,20
7,Bút mực,11,38,0,48,16
8,Hộp bút,12,35,10,69,21
9,Compa,1,24,29,64,29
10,Kéo học sinh,2,20,0,27,27
11,Bút lông bảng,3,25,7,48,15
12,Bảng con học sinh,4,9,0,66,11
13,Máy tính cầm tay,5,5,0,109,20
14,Băng keo,6,14,17,36,17
15,Giấy A4,7,16,24,65,13
16,Bút màu,8,37,0,50,25
17,Sổ ghi chép,9,18,0,88,18
18,Ba lô học sinh,10,30,0,85,27
19,Túi đựng tài liệu,11,10,0,52,18
20,Bìa hồ sơ,12,29,0,92,22
1,Bút bi,1,35,0,87,11
2,Bút chì,2,8,0,89,11
3,Tẩy (gôm),3,22,0,42,28
4,Thước kẻ,4,15,0,73,16
5,Bút dạ quang,5,29,0,84,21
6,Vở học sinh,6,11,0,38,10
7,Bút mực,7,36,0,63,15
8,Hộp bút,8,30,0,91,23
9,Compa,9,18,0,65,18
10,Kéo học sinh,10,7,0,91,25
11,Bút lông bảng,11,6,0,112,21
12,Bảng con học sinh,12,9,0,56,24
13,Máy tính cầm tay,1,19,0,106,15
14,Băng keo,2,25,22,99,24
15,Giấy A4,3,19,10,70,24
16,Bút màu,4,8,0,105,28
17,Sổ ghi chép,5,38,3,71,23
18,Ba lô học sinh,6,31,0,47,12
19,Túi đựng tài liệu,7,12,0,55,27
20,Bìa hồ sơ,8,6,3,109,20
1,Bút bi,9,11,0,93,16
2,Bút chì,10,17,23,61,19
3,Tẩy (gôm),11,24,0,26,10
4,Thước kẻ,12,17,0,40,18
5,Bút dạ quang,1,30,9,107,19
6,Vở học sinh,2,12,0,68,14
7,Bút mực,3,8,18,119,16
8,Hộp bút,4,14,0,38,13
9,Compa,5,14,0,88,24
10,Kéo học sinh,6,39,0,52,26
11,Bút lông bảng,7,26,14,54,16
12,Bảng con học sinh,8,36,0,92,23
13,Máy tính cầm tay,9,17,0,44,11
14,Băng keo,10,39,0,37,12
15,Giấy A4,11,15,0,79,23
16,Bút màu,12,23,0,61,16
17,Sổ ghi chép,1,37,0,92,17
18,Ba lô học sinh,2,37,8,87,22
19,Túi đựng tài liệu,3,6,0,63,17
20,Bìa hồ sơ,4,12,0,63,12
1,Bút bi,5,26,0,106,21
2,Bút chì,6,6,0,54,11
3,Tẩy (gôm),7,27,0,27,21
4,Thước kẻ,8,9,14,74,25
5,Bút dạ quang,9,34,0,35,21
6,Vở học sinh,10,21,0,27,29
7,Bút mực,11,7,0,42,28
8,Hộp bút,12,9,0,84,29
9,Compa,1,10,7,51,10
10,Kéo học sinh,2,20,0,117,23
11,Bút lông bảng,3,37,12,85,18
12,Bảng con học sinh,4,25,0,92,10
13,Máy tính cầm tay,5,15,0,81,13
14,Băng keo,6,22,0,54,20
15,Giấy A4,7,19,0,31,24
16,Bút màu,8,22,0,49,19
17,Sổ ghi chép,9,34,0,86,25
18,Ba lô học sinh,10,11,0,92,24
19,Túi đựng tài liệu,11,25,26,21,12
20,Bìa hồ sơ,12,22,0,101,19
1,Bút bi,1,29,0,73,10
2,Bút chì,2,35,0,99,23
3,Tẩy (gôm),3,7,0,25,22
4,Thước kẻ,4,38,1,87,24
5,Bút dạ quang,5,8,11,51,22
6,Vở học sinh,6,35,0,37,15
7,Bút mực,7,36,29,21,28
8,Hộp bút,8,35,18,53,19
9,Compa,9,29,10,69,24
10,Kéo học sinh,10,13,0,28,12
11,Bút lông bảng,11,25,29,26,25
12,Bảng con học sinh,12,20,3,23,16
13,Máy tính cầm tay,1,21,27,71,29
14,Băng keo,2,39,0,111,23
15,Giấy A4,3,11,0,105,14
16,Bút màu,4,6,20,98,19
17,Sổ ghi chép,5,27,6,24,10
18,Ba lô học sinh,6,17,17,104,27
19,Túi đựng tài liệu,7,36,0,118,26
20,Bìa hồ sơ,8,15,0,71,13

